date,market,open,close
2023-05-24,Rajdhani Day,345,480
2023-05-24,Rajdhani Night,290,256
2023-05-24,Sridevi,458,350
2023-05-24,Sridevi Night,790,235
2023-05-24,Supreme Day,236,134
2023-05-24,Supreme Night,137,579
2023-05-24,Tara Mumbai Day,178,129
2023-05-24,Time Bazar,130,167
2023-05-25,Kalyan,799,240
2023-05-25,Kalyan Morning,279,149
2023-05-25,Kalyan Night,145,600
2023-05-25,Madhur Day,128,126
2023-05-25,Madhur Morning,349,367
2023-05-25,Madhur Night,460,778
2023-05-25,Madhuri,334,148
2023-05-25,Madhuri Night,890,370
2023-05-25,Main Bazar,790,399
2023-05-25,Milan Day,279,578
2023-05-25,Milan Morning,366,228
2023-05-25,Milan Night,358,233
2023-05-25,Rajdhani Day,479,990
2023-05-25,Rajdhani Night,245,359
2023-05-25,Sridevi,190,568
2023-05-25,Sridevi Night,359,124
2023-05-25,Supreme Day,378,368
2023-05-25,Supreme Night,288,250
2023-05-25,Tara Mumbai Day,459,236
2023-05-25,Time Bazar,167,259
2023-05-26,Kalyan,348,169
2023-05-26,Kalyan Morning,126,369
2023-05-26,Kalyan Night,156,800
2023-05-26,Madhur Day,224,370
2023-05-26,Madhur Morning,227,579
2023-05-26,Madhur Night,679,148
2023-05-26,Madhuri,699,279
2023-05-26,Madhuri Night,300,280
2023-05-26,Main Bazar,678,238
2023-05-26,Milan Day,260,480
2023-05-26,Milan Morning,290,168
2023-05-26,Milan Night,258,269
2023-05-26,Rajdhani Day,128,230
2023-05-26,Rajdhani Night,345,389
2023-05-26,Sridevi,128,468
2023-05-26,Sridevi Night,239,379
2023-05-26,Supreme Day,170,457
2023-05-26,Supreme Night,569,120
2023-05-26,Tara Mumbai Day,155,100
2023-05-26,Time Bazar,258,180
2023-05-27,Kalyan,569,349
2023-05-27,Kalyan Morning,133,270
2023-05-27,Madhur Day,127,234
2023-05-27,Madhur Morning,356,159
2023-05-27,Madhur Night,168,148
2023-05-27,Madhuri,157,248
2023-05-27,Madhuri Night,155,466
2023-05-27,Milan Day,348,279
2023-05-27,Milan Morning,389,179
2023-05-27,Milan Night,460,270
2023-05-27,Rajdhani Day,489,369
2023-05-27,Sridevi,123,136
2023-05-27,Sridevi Night,135,588
2023-05-27,Supreme Day,130,579
2023-05-27,Supreme Night,667,177
2023-05-27,Tara Mumbai Day,368,478
2023-05-27,Time Bazar,358,289
2023-05-28,Kalyan Morning,567,279
2023-05-28,Madhur Day,579,778
2023-05-28,Madhur Morning,340,235
2023-05-28,Madhuri,488,566
2023-05-28,Milan Morning,356,378
2023-05-28,Sridevi,245,238
2023-05-28,Sridevi Night,458,289
2023-05-28,Supreme Day,223,770
2023-05-28,Supreme Night,226,170
2023-05-29,Kalyan,122,257
2023-05-29,Kalyan Morning,138,234
2023-05-29,Kalyan Night,899,157
2023-05-29,Madhur Day,117,169
2023-05-29,Madhur Morning,127,400
2023-05-29,Madhur Night,478,117
2023-05-29,Madhuri,457,568
2023-05-29,Madhuri Night,148,677
2023-05-29,Main Bazar,270,780
2023-05-29,Milan Day,225,199
2023-05-29,Milan Morning,345,158
2023-05-29,Milan Night,577,370
2023-05-29,Rajdhani Day,166,159
2023-05-29,Rajdhani Night,224,459
2023-05-29,Sridevi,330,566
2023-05-29,Sridevi Night,370,146
2023-05-29,Supreme Day,677,447
2023-05-29,Supreme Night,570,467
2023-05-29,Tara Mumbai Day,130,168
2023-05-29,Time Bazar,167,137
